Title;Warm Price;Cold Price;Utilities Cost;Deposit;Room Size (m²);Number of Rooms;Level;Location;Amenities;Env;Year of Construction;Elevator;Parking;Kitchen;Balcony;Garden;Terrace;Move-in Date;Efficiency Class;Energy Source;Energy Demand;Link
WUNDERSCHÖNE - 2 ZIMMER WOHNUNG - EINBAUKÜCHE - BALKON - AB 01.05.2024;1.500;1.310;100;3.930,00;49;2;4. Geschoss;10249 Berlin Friedrichshain;;;2024;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;B;Fernwärme;57,00;https://www.immowelt.de/expose/2dtkd5t
WUNDERSCHÖNE - 2 ZIMMER WOHNUNG - EINBAUKÜCHE - BALKON - AB 01.05.2024;1.480;1.290;100;3.870,00;49;2;2. Geschoss;10249 Berlin Friedrichshain;;;2024;Verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;B;Fernwärme;57,00;https://www.immowelt.de/expose/2drkd5t
WUNDERSCHÖNE - 4 ZIMMER WOHNUNG IM 5. OG - BALKON SÜD-/WESTAUSRICHTUNG - EINBAUKÜCHE - AB 01.05.2024;3.350;2.850;200;8.910,00;99;4;5. Geschoss;10249 Berlin Friedrichshain;Gäste-WC;;2024;Verfügbar;Verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.05.2024;B;Fernwärme;57,00;https://www.immowelt.de/expose/2dcjd5t
2-Zimmer-Wohnung Berlin Steglitz / Möbliert / Ruhige und zentrale Lage / Garten;1.250;;;1250;59;2;1. Geschoss;12169 Berlin Steglitz;Bad mit Wanne;;;Nicht verfügbar;Nicht verfügbar;Verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2d7hd5t
Nur mal kurz in Berlin? All-inclusive Apartment in Kreuzkölln!;1.895;.;;3.790,00;45;2;1. Geschoss;10967 Berlin Kreuzberg;Bad mit Dusche;;2023;Verfügbar;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;01.04.2024;A;FERN;35,20;https://www.immowelt.de/expose/2dxfd5t
3 Zimmer Wohnung mit Terasse zu vermieten!;;145.070;200;;89;3;Erdgeschoss;13409 Berlin Reinickendorf;;;1972;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;nach Absprache;;;234,00;https://www.immowelt.de/expose/2d4wc5t
Sonnige, lichtdurchflutete 2-Zimmer mit EBK und Fußbodenheizung!!!;1.550;1.350;200;4050;61;2;Erdgeschoss;13437 Berlin Wittenau;Bad mit Dusche, barrierefrei, rollstuhlgerecht;;2014;Verfügbar;Verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Sofort;;;;https://www.immowelt.de/expose/2dmsc5t
Gepflegte 3 Zimmer mit Wintergarten und Einbauküche ab sofort zu vermieten;1.037,43;785,26;156,17;2.355,78;80;3;3. Geschoss;13125 Berlin Karow;Bad mit Wanne;;1997;Nicht verfügbar;Nicht verfügbar;Verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;01.06.2024;B;;;https://www.immowelt.de/expose/2dk3c5t
Wohnungsswap - Libellenstraße;;.;;;140;3;1. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2drdb5t
Wohnungsswap - Maximilianstraße;;.;;;57;2;3. Geschoss;;;;;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;Nicht verfügbar;;;;;https://www.immowelt.de/expose/2dmdb5t
